Date,Product_ID,Product_Name,Product_Category,Model_Series,Units_Sold,Revenue_INR,Region,State,City,Online_Offline,Store_Name,Discount_Percent,Stock_Available,Review_ID,Platform,Customer_ID,Sentiment_Label,Star_Rating,Return_Product,Return_Reason,Keywords_Extracted,Review_Text,Helpfulness_Votes
2024-11-27,PHN-1005,Galaxy M 5,Smartphone,Galaxy M,497,15486023,East,Bihar,Patna,Offline,Samsung Store,20,79,R53316,,C21758,Positive,5,,,display,Rise our list sit outside herself produce. positive experience with display.,70
2024-12-15,SSD-1005,SSD EVO Series 5,SSD,EVO Series,530,29959310,South,Karnataka,Bengaluru,Offline,Poorvika,10,102,R28735,,C75313,Positive,5,,,upgrade,Art task color control store. positive experience with upgrade.,57
2024-11-05,EBR-1005,Galaxy Buds 5,Earbuds,Galaxy Buds,663,28254408,Central,Madhya Pradesh,Indore,Offline,Lot Mobiles,20,16,R56514,,C19314,Positive,4,,,bluetooth,Trouble event generation role room quite. positive experience with bluetooth.,94
2024-10-16,EBR-1004,Galaxy Buds 4,Earbuds,Galaxy Buds,619,35851861,South,Tamil Nadu,Chennai,Online,,20,173,R94118,Amazon,C17810,Positive,4,No,,bluetooth,Rest official free memory. positive experience with bluetooth.,22
2024-09-28,FRZ-1003,Refrigerator Smart Fridge 3,Refrigerator,Smart Fridge,355,8322975,Central,Chhattisgarh,Raipur,Offline,UniverCell,20,134,R54945,,C34491,Positive,5,,,cooling,Style administration decade need. positive experience with cooling.,89
2025-07-10,LED-T-1004,LED TV T Series 4,LED TV,T Series,74,3900910,South,Kerala,Thiruvananthapuram,Online,,20,129,R97460,Amazon,C88063,Neutral,3,Yes,South maintain with.,4K,Job it south generation. neutral experience with 4K.,80
2025-01-12,TAB-1004,Galaxy Tab 4,Smart Tablet,Galaxy Tab,796,3483296,East,Assam,Guwahati,Offline,Lot Mobiles,10,36,R78868,,C59694,Negative,2,,,portability,Ok economy class know kitchen ten. negative experience with portability.,7
2025-04-04,SPK-1005,Speaker Sound Tower 5,Speaker,Sound Tower,624,15440880,South,Karnataka,Bengaluru,Online,,10,88,R92192,Flipkart,C76209,Negative,2,Yes,Dog seat stand hit institution.,bluetooth,By herself meet bit kind. negative experience with bluetooth.,91
2024-12-14,EBR-1001,Galaxy Buds 1,Earbuds,Galaxy Buds,544,20491936,West,Maharashtra,Mumbai,Online,,0,131,R16046,Samsung.com,C92802,Neutral,3,No,,noise cancel,Ahead police often explain language. neutral experience with noise cancel.,55
2025-07-05,MON-1002,Desktop Monitor ViewFinity 2,Desktop Monitor,ViewFinity,568,20531496,East,West Bengal,Kolkata,Online,,10,156,R33219,Flipkart,C29391,Neutral,3,Yes,Southern stuff again rule sell.,stand,Inside vote factor. neutral experience with stand.,86
2024-08-31,MON-1002,Desktop Monitor ViewFinity 2,Desktop Monitor,ViewFinity,237,12656748,North,Delhi,New Delhi,Online,,15,184,R61194,Amazon,C77800,Neutral,3,Yes,Particularly article what shake.,stand,Long throughout activity source than. neutral experience with stand.,4
2024-10-06,LPT-1002,Galaxy Book 2,Laptop,Galaxy Book,558,16534098,West,Gujarat,Surat,Offline,Vijay Sales,15,57,R63782,,C91483,Neutral,3,,,screen,Education and charge between seven. neutral experience with screen.,51
2024-09-12,SSD-1001,SSD EVO Series 1,SSD,EVO Series,298,11535878,Central,Chhattisgarh,Raipur,Online,,20,4,R29846,Flipkart,C80497,Negative,2,Yes,Dark us structure foreign.,upgrade,Improve child response line street bill. negative experience with upgrade.,25
2024-10-04,LED-T-1003,LED TV T Series 3,LED TV,T Series,391,20883310,West,Maharashtra,Mumbai,Offline,Poorvika,10,102,R64944,,C60343,Neutral,3,,,display,Increase visit television spend so. neutral experience with display.,52
2024-12-24,KYB-1002,Keyboard Samsung Keys 2,Keyboard,Samsung Keys,187,8955991,South,Andhra Pradesh,Visakhapatnam,Offline,Poorvika,5,187,R14187,,C66400,Positive,4,,,USB,Crime culture site prepare nation need husband provide. positive experience with USB.,18
2024-11-08,PHN-1005,Galaxy M 5,Smartphone,Galaxy M,629,5513185,South,Kerala,Kochi,Offline,Vijay Sales,20,194,R19638,,C87436,Positive,5,,,display,Democratic seven item water listen. positive experience with display.,98
2025-02-05,MSE-1005,Mouse Samsung Mouse 5,Mouse,Samsung Mouse,566,16311554,Central,Madhya Pradesh,Indore,Offline,Vijay Sales,0,158,R63973,,C86749,Negative,2,,,USB,Statement measure six dream bring leg. negative experience with USB.,8
2025-05-02,LED-T-1004,LED TV T Series 4,LED TV,T Series,765,20425500,East,Odisha,Bhubaneswar,Online,,20,182,R15997,Samsung.com,C32802,Positive,5,No,,HDR,Forward make few base he many machine. positive experience with HDR.,67
2025-01-22,PHN-1001,Galaxy M 1,Smartphone,Galaxy M,467,20332246,North,Uttar Pradesh,Kanpur,Online,,20,51,R41329,Flipkart,C44782,Negative,2,Yes,Everyone themselves threat report leader report.,charging,Strategy listen could cup drive apply. negative experience with charging.,87
2024-10-17,SPK-1002,Speaker Sound Tower 2,Speaker,Sound Tower,491,4011470,Central,Madhya Pradesh,Bhopal,Offline,Samsung Store,20,141,R95769,,C45748,Negative,2,,,bass,Though seat mouth cold story themselves. negative experience with bass.,16
2024-09-03,MSE-1004,Mouse Samsung Mouse 4,Mouse,Samsung Mouse,603,14400846,East,Odisha,Bhubaneswar,Offline,Lot Mobiles,5,193,R42849,,C49996,Positive,5,,,wireless,Environmental hundred itself. positive experience with wireless.,26
2025-03-11,MON-1001,Desktop Monitor ViewFinity 1,Desktop Monitor,ViewFinity,520,28446600,Central,Madhya Pradesh,Bhopal,Offline,Croma,0,185,R26003,,C18201,Positive,4,,,panel,Strategy officer project drug share chair. positive experience with panel.,33
2025-05-02,PHN-1001,Galaxy M 1,Smartphone,Galaxy M,240,2038560,South,Tamil Nadu,Coimbatore,Offline,Reliance Digital,0,108,R67737,,C41130,Positive,4,,,camera,Middle blood specific food magazine instead. positive experience with camera.,25
2024-10-07,KYB-1003,Keyboard Samsung Keys 3,Keyboard,Samsung Keys,599,1296835,Central,Madhya Pradesh,Bhopal,Online,,5,72,R30937,Amazon,C94475,Positive,4,Yes,I deep serious forget.,layout,Focus pull wear back town movement factor development. positive experience with layout.,39
2025-05-24,MSE-1001,Mouse Samsung Mouse 1,Mouse,Samsung Mouse,409,20022186,North,Punjab,Ludhiana,Offline,Vijay Sales,20,72,R16747,,C37659,Positive,4,,,click,Father particularly within as moment. positive experience with click.,32
2025-03-12,SSD-1002,SSD EVO Series 2,SSD,EVO Series,260,8628880,Central,Madhya Pradesh,Bhopal,Online,,0,156,R70871,Amazon,C50199,Positive,5,Yes,Affect usually whole number want grow.,speed,Risk star free lay dinner west food. positive experience with speed.,65
2025-05-04,LED-T-1004,LED TV T Series 4,LED TV,T Series,95,5332920,Central,Madhya Pradesh,Indore,Online,,20,91,R66701,Samsung.com,C41967,Negative,2,Yes,Surface compare sell discussion return.,sound,Trouble fill TV evening anyone case wall. negative experience with sound.,32
2025-04-25,TAB-1003,Galaxy Tab 3,Smart Tablet,Galaxy Tab,614,33135738,Central,Chhattisgarh,Raipur,Online,,20,131,R79128,Flipkart,C21545,Negative,2,Yes,Under down behind.,portability,Star especially interesting above provide hit. negative experience with portability.,38
2024-10-10,PHN-1002,Galaxy M 2,Smartphone,Galaxy M,545,16415400,West,Gujarat,Surat,Offline,UniverCell,15,98,R82478,,C14674,Negative,2,,,charging,Boy your food though budget. negative experience with charging.,22
2025-04-27,SPK-1005,Speaker Sound Tower 5,Speaker,Sound Tower,451,12494504,South,Tamil Nadu,Chennai,Offline,Big C,20,178,R95574,,C20057,Neutral,3,,,bass,Perhaps at rest what. neutral experience with bass.,95
2024-12-31,PHN-1004,Galaxy M 4,Smartphone,Galaxy M,289,16495831,North,Uttar Pradesh,Lucknow,Online,,20,195,R13292,Amazon,C26272,Positive,5,No,,camera,Program very tend medical. positive experience with camera.,22
2024-09-01,TAB-1004,Galaxy Tab 4,Smart Tablet,Galaxy Tab,673,29805824,South,Kerala,Kochi,Online,,5,166,R68823,Samsung.com,C26556,Positive,5,Yes,Public with event personal difference.,battery,Ten role on. positive experience with battery.,40
2025-07-06,SSD-1003,SSD EVO Series 3,SSD,EVO Series,143,7146997,North,Uttar Pradesh,Kanpur,Offline,UniverCell,10,55,R15462,,C94781,Positive,5,,,storage,Represent find we interesting use full girl. positive experience with storage.,63
2024-11-03,TAB-1001,Galaxy Tab 1,Smart Tablet,Galaxy Tab,144,6535152,North,Delhi,New Delhi,Online,,10,150,R11648,Flipkart,C28731,Positive,4,No,,portability,Here back detail or. positive experience with portability.,89
2025-05-17,EBR-1004,Galaxy Buds 4,Earbuds,Galaxy Buds,285,13217730,East,Bihar,Patna,Online,,10,32,R75679,Amazon,C77507,Positive,5,No,,fit,Style behavior pull national. positive experience with fit.,4
2024-09-06,TAB-1002,Galaxy Tab 2,Smart Tablet,Galaxy Tab,196,3048976,West,Gujarat,Ahmedabad,Online,,10,47,R90745,Amazon,C67225,Positive,5,Yes,Lay major serious reflect memory.,apps,Pick at war bag less summer. positive experience with apps.,98
2024-09-20,KYB-1001,Keyboard Samsung Keys 1,Keyboard,Samsung Keys,716,4547316,Central,Madhya Pradesh,Bhopal,Online,,20,33,R39106,Amazon,C73858,Negative,2,Yes,Where anyone thing deep among.,keys,Little event thank suddenly source country. negative experience with keys.,22
2024-11-09,MSE-1001,Mouse Samsung Mouse 1,Mouse,Samsung Mouse,198,6275214,East,Bihar,Patna,Offline,Sangeetha,15,56,R36875,,C13525,Positive,5,,,click,Send still tough little strategy charge phone. positive experience with click.,86
2025-01-19,MON-1001,Desktop Monitor ViewFinity 1,Desktop Monitor,ViewFinity,474,5039094,Central,Chhattisgarh,Raipur,Offline,UniverCell,20,23,R96019,,C17717,Positive,5,,,HDMI,Computer blood street. positive experience with HDMI.,73
2025-05-06,PHN-1002,Galaxy M 2,Smartphone,Galaxy M,462,4940166,Central,Chhattisgarh,Raipur,Online,,0,189,R23968,Amazon,C26266,Positive,5,No,,battery,These every head control. positive experience with battery.,18
2025-06-01,SPK-1005,Speaker Sound Tower 5,Speaker,Sound Tower,457,15745478,South,Telangana,Hyderabad,Offline,Sangeetha,20,65,R91931,,C72620,Positive,5,,,sound,Employee prevent under new. positive experience with sound.,73
2025-01-04,EBR-1001,Galaxy Buds 1,Earbuds,Galaxy Buds,412,1771600,East,Odisha,Bhubaneswar,Online,,10,124,R35900,Samsung.com,C68461,Negative,2,No,,noise cancel,Finish indeed student. negative experience with noise cancel.,72
2025-06-23,PHN-1005,Galaxy M 5,Smartphone,Galaxy M,712,27275296,East,Odisha,Bhubaneswar,Offline,Vijay Sales,0,199,R41100,,C15490,Positive,4,,,display,Threat choose fill hope shake quickly. positive experience with display.,9
2024-12-11,LPT-1002,Galaxy Book 2,Laptop,Galaxy Book,107,2570568,South,Karnataka,Mysuru,Offline,Big C,20,195,R81929,,C93383,Positive,5,,,keyboard,Best letter deep spend skill service write evening. positive experience with keyboard.,71
2025-02-24,TAB-1003,Galaxy Tab 3,Smart Tablet,Galaxy Tab,333,11482839,South,Tamil Nadu,Coimbatore,Offline,Big C,15,60,R91230,,C14481,Positive,5,,,apps,Bar Republican half condition. positive experience with apps.,18
2024-09-07,LED-T-1003,LED TV T Series 3,LED TV,T Series,366,4336734,South,Tamil Nadu,Coimbatore,Online,,5,71,R17405,Samsung.com,C47060,Positive,5,Yes,Too experience will.,HDR,Sell by PM research third suddenly. positive experience with HDR.,55
2025-01-29,SPK-1001,Speaker Sound Tower 1,Speaker,Sound Tower,577,15324543,West,Maharashtra,Mumbai,Online,,0,94,R94549,Samsung.com,C23788,Negative,1,No,,bass,Source fight page as usually financial nation. negative experience with bass.,16
2024-09-30,LPT-1003,Galaxy Book 3,Laptop,Galaxy Book,607,17164746,West,Gujarat,Surat,Online,,15,11,R55863,Amazon,C18614,Neutral,3,No,,keyboard,Choice end responsibility statement address. neutral experience with keyboard.,94
2024-12-07,TAB-1002,Galaxy Tab 2,Smart Tablet,Galaxy Tab,420,6015240,West,Maharashtra,Nagpur,Online,,5,165,R93436,Amazon,C80960,Neutral,3,No,,apps,Chance tend board seat tree approach lot. neutral experience with apps.,55
2024-12-09,KYB-1001,Keyboard Samsung Keys 1,Keyboard,Samsung Keys,111,2083914,West,Rajasthan,Udaipur,Offline,UniverCell,20,127,R49654,,C34663,Negative,2,,,typing,By keep live me government. negative experience with typing.,29
2025-07-01,SSD-1005,SSD EVO Series 5,SSD,EVO Series,429,21896160,South,Kerala,Thiruvananthapuram,Online,,5,169,R22470,Samsung.com,C23869,Negative,1,Yes,Lay keep treat toward final.,storage,Spring training economic on industry. negative experience with storage.,30
2024-10-02,EBR-1001,Galaxy Buds 1,Earbuds,Galaxy Buds,494,1444950,Central,Madhya Pradesh,Bhopal,Offline,Poorvika,20,164,R62332,,C87786,Positive,4,,,sound,Example catch describe skill. positive experience with sound.,96
2025-04-15,EBR-1001,Galaxy Buds 1,Earbuds,Galaxy Buds,199,4961667,West,Maharashtra,Nagpur,Offline,Reliance Digital,10,131,R74630,,C27101,Negative,1,,,noise cancel,Point science true wait. negative experience with noise cancel.,39
2025-03-05,MSE-1003,Mouse Samsung Mouse 3,Mouse,Samsung Mouse,206,8818448,West,Rajasthan,Udaipur,Offline,UniverCell,5,134,R85778,,C95905,Positive,5,,,scroll,No cup look onto. positive experience with scroll.,28
2024-07-27,PHN-1002,Galaxy M 2,Smartphone,Galaxy M,750,42317250,West,Maharashtra,Nagpur,Online,,15,180,R50145,Flipkart,C51159,Positive,5,No,,charging,Wear summer suddenly task. positive experience with charging.,45
2024-08-20,SSD-1001,SSD EVO Series 1,SSD,EVO Series,76,3392260,South,Telangana,Hyderabad,Offline,Lot Mobiles,20,3,R65941,,C23299,Neutral,3,,,reliable,Visit us kid sea yourself. neutral experience with reliable.,73
2024-07-22,MSE-1002,Mouse Samsung Mouse 2,Mouse,Samsung Mouse,93,273978,Central,Chhattisgarh,Raipur,Online,,10,62,R93204,Amazon,C66272,Positive,4,Yes,Far do simple less those concern.,USB,Help south soon may pick theory good. positive experience with USB.,95
2025-03-16,LPT-1003,Galaxy Book 3,Laptop,Galaxy Book,371,3285576,West,Gujarat,Ahmedabad,Offline,Reliance Digital,5,66,R33372,,C31977,Positive,5,,,screen,Brother bring company view whole cup race. positive experience with screen.,30
2025-01-27,MSE-1001,Mouse Samsung Mouse 1,Mouse,Samsung Mouse,485,20616380,North,Uttar Pradesh,Kanpur,Online,,5,99,R44239,Flipkart,C13867,Neutral,3,Yes,Herself beat minute degree administration.,USB,Coach task order again. neutral experience with USB.,27
2025-06-13,SPK-1001,Speaker Sound Tower 1,Speaker,Sound Tower,505,12251805,North,Uttar Pradesh,Lucknow,Online,,10,95,R66444,Flipkart,C53827,Negative,2,No,,loud,Pressure tough write. negative experience with loud.,2
2025-06-05,SSD-1001,SSD EVO Series 1,SSD,EVO Series,772,43221192,West,Maharashtra,Nagpur,Offline,Poorvika,0,89,R29972,,C41236,Neutral,3,,,upgrade,Recent difference onto. neutral experience with upgrade.,87
2025-04-18,EBR-1001,Galaxy Buds 1,Earbuds,Galaxy Buds,470,7316490,East,Odisha,Bhubaneswar,Offline,Sangeetha,15,116,R82951,,C25721,Positive,5,,,fit,Record game skill alone. positive experience with fit.,91
2025-06-11,EBR-1001,Galaxy Buds 1,Earbuds,Galaxy Buds,109,5761631,East,Assam,Guwahati,Online,,15,145,R47420,Samsung.com,C18611,Positive,4,No,,bluetooth,Sort buy although push important seven certain fill. positive experience with bluetooth.,18
2024-08-20,FRZ-1001,Refrigerator Smart Fridge 1,Refrigerator,Smart Fridge,161,2307130,West,Maharashtra,Mumbai,Offline,Sangeetha,5,135,R30202,,C72911,Negative,2,,,design,Fund through continue turn us meeting one loss. negative experience with design.,36
2025-03-16,MON-1003,Desktop Monitor ViewFinity 3,Desktop Monitor,ViewFinity,796,5396084,South,Andhra Pradesh,Visakhapatnam,Offline,Croma,15,163,R62947,,C19893,Positive,4,,,refresh rate,Maybe own but worker politics citizen born. positive experience with refresh rate.,15
2025-03-25,MON-1002,Desktop Monitor ViewFinity 2,Desktop Monitor,ViewFinity,532,23371292,West,Rajasthan,Udaipur,Offline,Sangeetha,20,55,R99436,,C80580,Positive,5,,,stand,Government environmental else. positive experience with stand.,92
2025-06-24,LPT-1005,Galaxy Book 5,Laptop,Galaxy Book,671,35292587,Central,Chhattisgarh,Raipur,Offline,Sangeetha,5,22,R72533,,C42531,Negative,2,,,speed,Level son life enter at certainly rate. negative experience with speed.,31
2024-09-09,KYB-1003,Keyboard Samsung Keys 3,Keyboard,Samsung Keys,315,6467895,West,Gujarat,Surat,Offline,Vijay Sales,15,105,R87309,,C94278,Positive,5,,,response,Shoulder event our send paper continue huge. positive experience with response.,81
2024-11-11,EBR-1002,Galaxy Buds 2,Earbuds,Galaxy Buds,423,4172049,North,Punjab,Amritsar,Offline,UniverCell,5,190,R40074,,C18504,Positive,5,,,fit,Total north finally throw. positive experience with fit.,19
2025-05-12,EBR-1002,Galaxy Buds 2,Earbuds,Galaxy Buds,238,9848202,Central,Chhattisgarh,Raipur,Online,,10,189,R60990,Samsung.com,C31432,Positive,5,Yes,Down office few.,bluetooth,Certainly speech stop include collection. positive experience with bluetooth.,12
2024-09-17,SPK-1002,Speaker Sound Tower 2,Speaker,Sound Tower,501,17529990,South,Andhra Pradesh,Vijayawada,Offline,Reliance Digital,10,4,R31932,,C32115,Neutral,3,,,sound,Interest trial agree treatment leg public old need. neutral experience with sound.,1
2025-03-27,LED-T-1003,LED TV T Series 3,LED TV,T Series,362,13936638,West,Rajasthan,Udaipur,Online,,5,155,R89034,Samsung.com,C17443,Positive,5,No,,display,Save skin charge suddenly chair. positive experience with display.,7
2025-03-25,MSE-1005,Mouse Samsung Mouse 5,Mouse,Samsung Mouse,307,11566532,North,Delhi,New Delhi,Online,,10,26,R62364,Amazon,C27014,Negative,2,Yes,Five offer rate property stuff.,USB,Include fear official though. negative experience with USB.,50
2024-09-29,MSE-1004,Mouse Samsung Mouse 4,Mouse,Samsung Mouse,598,33363616,West,Maharashtra,Nagpur,Online,,15,120,R89203,Flipkart,C81142,Positive,4,Yes,Soon deep election investment sing.,USB,Future apply development former country. positive experience with USB.,52
2025-06-21,KYB-1003,Keyboard Samsung Keys 3,Keyboard,Samsung Keys,706,22688016,South,Telangana,Hyderabad,Offline,Croma,20,22,R63392,,C23679,Positive,4,,,typing,Letter relate certainly through like and onto thousand. positive experience with typing.,100
2024-08-13,SSD-1002,SSD EVO Series 2,SSD,EVO Series,121,3708045,South,Karnataka,Mysuru,Online,,15,140,R90062,Amazon,C74735,Positive,4,Yes,Oil future visit sell art guy.,reliable,Bar property region spend opportunity. positive experience with reliable.,33
2025-07-08,SPK-1003,Speaker Sound Tower 3,Speaker,Sound Tower,524,7049372,Central,Madhya Pradesh,Bhopal,Online,,5,49,R53504,Amazon,C38979,Positive,4,No,,connectivity,Nearly table discover car. positive experience with connectivity.,78
2025-05-11,FRZ-1005,Refrigerator Smart Fridge 5,Refrigerator,Smart Fridge,777,1976688,South,Tamil Nadu,Coimbatore,Online,,5,187,R84611,Amazon,C89936,Negative,1,No,,noise,Nearly safe brother character. negative experience with noise.,79
2024-12-06,LED-T-1002,LED TV T Series 2,LED TV,T Series,720,14523120,Central,Madhya Pradesh,Bhopal,Offline,Big C,0,164,R71207,,C67163,Positive,4,,,remote,Thank throw who teach. positive experience with remote.,33
2024-12-10,LPT-1001,Galaxy Book 1,Laptop,Galaxy Book,155,7244235,Central,Madhya Pradesh,Indore,Offline,Sangeetha,15,193,R79682,,C52928,Positive,5,,,speed,Glass pattern beautiful commercial. positive experience with speed.,96
2025-05-27,SSD-1004,SSD EVO Series 4,SSD,EVO Series,555,3211230,West,Rajasthan,Udaipur,Offline,Lot Mobiles,15,106,R96036,,C98706,Positive,4,,,upgrade,Arrive crime thought western because. positive experience with upgrade.,14
2024-07-16,MSE-1001,Mouse Samsung Mouse 1,Mouse,Samsung Mouse,66,1635084,East,West Bengal,Kolkata,Offline,UniverCell,10,188,R14513,,C10824,Positive,5,,,wireless,New rule prepare. positive experience with wireless.,53
2025-07-14,MSE-1004,Mouse Samsung Mouse 4,Mouse,Samsung Mouse,222,10869564,South,Andhra Pradesh,Vijayawada,Online,,20,176,R39546,Flipkart,C51753,Negative,1,No,,click,Rest feel doctor political. negative experience with click.,84
2025-04-20,KYB-1005,Keyboard Samsung Keys 5,Keyboard,Samsung Keys,65,1512615,East,Bihar,Patna,Online,,15,107,R75710,Amazon,C41246,Neutral,3,No,,layout,Surface job network religious whole. neutral experience with layout.,89
2024-12-11,SPK-1002,Speaker Sound Tower 2,Speaker,Sound Tower,681,25769721,West,Gujarat,Surat,Offline,Sangeetha,0,151,R26556,,C47866,Positive,5,,,sound,Decade tend choice nation. positive experience with sound.,95
2025-06-11,EBR-1003,Galaxy Buds 3,Earbuds,Galaxy Buds,134,2256024,East,Assam,Guwahati,Offline,Poorvika,20,152,R47281,,C37835,Positive,5,,,fit,Situation agreement foot last opportunity size avoid structure. positive experience with fit.,35
